Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Most students ' podiatrists aggravated one mother of and Timothy aggravated few content mother of . <eos>	[4.991747856140137, 4.8285417556762695, 4.7761688232421875, 6.970355987548828, 5.179105281829834, 4.272010803222656, 4.431140899658203, 2.9722394943237305, 4.4883904457092285, 4.967426300048828, 3.7882983684539795, 3.7388484477996826, 5.018336296081543, 3.4806406497955322, 3.7551989555358887, 4.465420722961426, 2.794023430396919e-07]	[5.7307233810424805, 5.586731910705566, 5.53753662109375, 3.0409364700317383, 14.420592308044434, 5.778764724731445, 8.755570411682129, 4.239240646362305, 9.747076034545898, 13.241398811340332, 13.124409675598145, 12.884410858154297, 12.875116348266602, 13.257364273071289, 5.499856948852539, 7.609197616577148, -0.0]	Most students ' podiatrists aggravated one troubled mother of and Timothy aggravated few content . <eos>	[4.986680507659912, 4.8408894538879395, 4.774489402770996, 6.969515323638916, 5.173637390136719, 4.271572589874268, 4.43257474899292, 5.829819679260254, 3.348468780517578, 4.620513916015625, 6.007861614227295, 3.720776081085205, 4.013034343719482, 5.446680068969727, 3.4502482414245605, 2.795650857478904e-07]	[5.726487159729004, 5.570890426635742, 5.543444633483887, 3.0395498275756836, 14.416352272033691, 5.780661582946777, 11.536941528320312, 6.060663223266602, 4.571969985961914, 9.229108810424805, 12.732803344726562, 13.230997085571289, 11.817818641662598, 12.50407600402832, 1.537156105041504, -0.0]
These horses confuse three teachers and all jackets confuse more lucky teachers . <eos>	[4.984655857086182, 6.994961738586426, 3.7959961891174316, 4.131093978881836, 5.7763214111328125, 3.031208038330078, 6.303436279296875, 5.4546942710876465, 2.851059913635254, 3.4515018463134766, 3.0648036003112793, 5.0696611404418945, 2.5423262119293213, 2.7116246315017634e-07]	[4.840951919555664, 8.872747421264648, 12.701238632202148, 7.742029190063477, 9.811054229736328, 1.7968788146972656, 5.073030471801758, 11.894261360168457, 13.752908706665039, 7.3047075271606445, 14.543516159057617, 7.541811943054199, 0.8756198883056641, -0.0]	These horses confuse three smart teachers and all jackets confuse more lucky . <eos>	[4.9908905029296875, 7.001335144042969, 3.796844005584717, 4.134077548980713, 5.7761335372924805, 5.626073837280273, 2.9401865005493164, 6.2090301513671875, 5.290454864501953, 3.1077661514282227, 3.6712112426757812, 3.8719167709350586, 5.374322891235352, 2.918996813150443e-07]	[4.846473693847656, 8.865633010864258, 12.704885482788086, 7.743533134460449, 12.236213684082031, 9.490318298339844, 2.3888330459594727, 5.275785446166992, 11.486745834350586, 13.621545791625977, 6.776688575744629, 13.664435386657715, 4.430529594421387, -0.0]
Barbara had n't listened to one granddaughter of and Martha had n't listened to several big granddaughter of . <eos>	[4.994050025939941, 6.054765224456787, 4.995242118835449, 4.9705657958984375, 1.5129637718200684, 4.606731414794922, 2.7292137145996094, 3.931788682937622, 4.634769439697266, 5.541443824768066, 4.556069374084473, 5.147603988647461, 4.581851482391357, 1.3653594255447388, 2.884059429168701, 1.8801320791244507, 5.221469402313232, 4.916810512542725, 5.637248992919922, 2.8090346404496813e-07]	[10.271851539611816, 4.96931266784668, 6.517678260803223, 7.133694648742676, 0.2610511779785156, 5.510311126708984, 13.827045440673828, 4.526584625244141, 9.328666687011719, 9.715465545654297, 3.164846420288086, 6.206463813781738, 6.616870880126953, 0.26867103576660156, 8.149866104125977, 11.462140083312988, 12.98820972442627, 5.550996780395508, 5.375303268432617, -0.0]	Barbara had n't listened to one sick granddaughter of and Martha had n't listened to several big . <eos>	[4.98922061920166, 6.0552191734313965, 4.993844985961914, 4.9690775871276855, 1.5137948989868164, 4.607108116149902, 2.728754758834839, 4.6824951171875, 3.644451141357422, 4.64099645614624, 5.45538854598999, 4.353485107421875, 4.916172027587891, 4.4304986000061035, 1.6317421197891235, 3.7048521041870117, 4.5969085693359375, 5.8814697265625, 2.9679517865588423e-07]	[10.270713806152344, 4.969974517822266, 6.51474666595459, 7.133678436279297, 0.2612590789794922, 5.511774063110352, 13.44075870513916, 11.786469459533691, 3.3752288818359375, 9.1080904006958, 9.841756820678711, 3.6065196990966797, 6.488712310791016, 7.625211715698242, 0.3504180908203125, 7.525579452514648, 9.769367218017578, 7.500964164733887, -0.0]
The teachers had escaped from one grandfather of and Jennifer had escaped from some unlucky grandfather of . <eos>	[4.992247581481934, 7.804783821105957, 4.806655406951904, 5.284060478210449, 4.193687438964844, 3.8984222412109375, 3.977051019668579, 3.1389613151550293, 3.5057308673858643, 4.458151340484619, 4.542036533355713, 4.862878799438477, 3.086663007736206, 3.3413586616516113, 4.390282154083252, 6.651546478271484, 3.0429749488830566, 5.113819599151611, 2.8398130780260544e-07]	[1.715205192565918, 10.288301467895508, 4.516909599304199, 8.886163711547852, 2.0455713272094727, 5.976537704467773, 14.305264472961426, 5.001164436340332, 8.333292007446289, 12.64769172668457, 4.631830215454102, 6.749975204467773, 1.1965198516845703, 7.221299171447754, 12.595483779907227, 10.378803253173828, 5.4324235916137695, 8.895597457885742, -0.0]	The teachers had escaped from one sick grandfather of and Jennifer had escaped from some unlucky . <eos>	[4.991165637969971, 7.80434513092041, 4.807559013366699, 5.2831315994262695, 4.194994926452637, 3.898665428161621, 3.976369619369507, 5.272299289703369, 3.1029257774353027, 4.304115295410156, 5.561102867126465, 4.159458160400391, 4.785129070281982, 2.960634231567383, 3.2140183448791504, 4.365412712097168, 6.62881326675415, 2.8796421247534454e-07]	[1.7133588790893555, 10.286294937133789, 4.517765998840332, 8.885751724243164, 2.045818328857422, 5.976598739624023, 9.710311889648438, 10.664560317993164, 4.948709487915039, 9.377342224121094, 12.354416847229004, 4.151238441467285, 6.6453351974487305, 1.0934257507324219, 7.4144287109375, 12.257214546203613, 6.922521591186523, -0.0]
Paula 's plumbers sell three apples and some cousins of Maria sell fewer gray apples . <eos>	[4.9921979904174805, 5.443594455718994, 6.501352310180664, 6.571146011352539, 5.192718982696533, 5.517673492431641, 2.6195149421691895, 5.3032917976379395, 5.452084541320801, 3.9927444458007812, 5.424922466278076, 4.067070960998535, 4.814258098602295, 5.360053062438965, 5.27294921875, 2.613862991333008, 2.7575384820011095e-07]	[11.255711555480957, 2.7071313858032227, 3.4990739822387695, 11.301773071289062, 6.544318199157715, 9.344364166259766, 1.4220523834228516, 6.109111785888672, 11.688899993896484, 4.191997528076172, 9.132332801818848, 9.385200500488281, 9.91242504119873, 12.287799835205078, 4.191286087036133, 1.2953758239746094, -0.0]	Paula 's plumbers sell three lost apples and some cousins of Maria sell fewer gray . <eos>	[4.990398406982422, 5.447970390319824, 6.505168914794922, 6.569416046142578, 5.192816257476807, 5.51705265045166, 5.9567461013793945, 2.764979839324951, 5.508674621582031, 6.260627746582031, 3.5585567951202393, 4.876124382019043, 3.7884790897369385, 4.535294532775879, 5.329550743103027, 5.240268707275391, 2.944601931176294e-07]	[11.25059986114502, 2.7104873657226562, 3.4993019104003906, 11.2952880859375, 6.543981552124023, 9.796346664428711, 8.021341323852539, 1.7326736450195312, 4.853416442871094, 9.767481803894043, 5.32572078704834, 8.573431015014648, 9.766019821166992, 9.919344902038574, 12.776010513305664, 4.0532426834106445, -0.0]
Michelle will drive to one river and Brett will drive to a few big river . <eos>	[4.995266914367676, 6.218789100646973, 5.031129360198975, 4.517780303955078, 4.892216205596924, 2.4557204246520996, 3.816909074783325, 6.172375202178955, 5.075512886047363, 5.349938869476318, 4.311578273773193, 3.5033140182495117, 6.077315807342529, 3.540074110031128, 4.507184982299805, 4.987405776977539, 3.491452389425831e-07]	[11.00743293762207, 7.6908979415893555, 6.778600692749023, 3.48748779296875, 6.3657636642456055, 9.311515808105469, 2.3884010314941406, 11.398094177246094, 2.6050872802734375, 4.721818923950195, 3.280503273010254, 3.032904624938965, 6.761055946350098, 9.01312255859375, 6.3974151611328125, 4.819916725158691, -0.0]	Michelle will drive to one white river and Brett will drive to a few big . <eos>	[4.991215705871582, 6.216493606567383, 5.031458854675293, 4.515998363494873, 4.891565799713135, 2.454174518585205, 5.689006328582764, 4.053300380706787, 6.40383243560791, 4.878641128540039, 5.273953437805176, 4.33546257019043, 3.7207252979278564, 6.275735855102539, 3.4256625175476074, 4.4061360359191895, 3.52529525571299e-07]	[10.990982055664062, 7.7021026611328125, 6.782871246337891, 3.4885244369506836, 6.364910125732422, 11.444633483886719, 9.331408500671387, 2.3219480514526367, 12.200799942016602, 3.1914215087890625, 5.019496917724609, 3.2997303009033203, 3.0570154190063477, 6.658418655395508, 8.861465454101562, 7.646111488342285, -0.0]
Tonya discovers three stories and Rebecca discovers fewer good stories . <eos>	[4.9935407638549805, 6.397475242614746, 2.5185041427612305, 6.785933971405029, 3.837038040161133, 5.91937255859375, 3.855442523956299, 3.3769171237945557, 6.297278881072998, 6.194092273712158, 3.049408435821533, 2.7503955379870604e-07]	[2.9356603622436523, 9.283367156982422, 7.168305397033691, 6.001418113708496, 2.8246145248413086, 11.426023483276367, 5.038182258605957, 13.710370063781738, 8.434571266174316, 4.791806221008301, 1.6135807037353516, -0.0]	Tonya discovers three popular stories and Rebecca discovers fewer good . <eos>	[4.991847038269043, 6.395656108856201, 2.516247034072876, 6.786118030548096, 7.043830871582031, 3.7676875591278076, 6.403203010559082, 3.462029218673706, 3.7375595569610596, 6.455791473388672, 6.038453578948975, 2.8380353001011827e-07]	[2.9361886978149414, 9.283490180969238, 7.172603607177734, 9.061954498291016, 4.53745174407959, 2.6695117950439453, 12.496255874633789, 6.118546485900879, 13.629846572875977, 8.090703964233398, 4.645203590393066, -0.0]
Most companies argue about one mother of and Patricia 's dermatologists argue about many out in the open mother of . <eos>	[4.992856502532959, 4.849081039428711, 4.851456165313721, 0.9439306259155273, 4.383795261383057, 4.835756301879883, 3.314533233642578, 5.032622337341309, 5.976544380187988, 3.2920708656311035, 6.188642978668213, 4.681018829345703, 2.926595449447632, 4.730865001678467, 5.247446537017822, 0.42109158635139465, 4.439489364624023, 6.984458923339844, 5.448362827301025, 4.283568382263184, 4.5340495109558105, 2.795258922105859e-07]	[5.732961654663086, 7.086684226989746, 9.204022407531738, 4.801608085632324, 6.777504920959473, 10.628461837768555, 4.688755989074707, 8.450437545776367, 14.669551849365234, 1.1163082122802734, 4.8123884201049805, 12.330065727233887, 3.3375091552734375, 7.771304130554199, 9.427389144897461, 6.801275253295898, 1.1657257080078125, 6.95604133605957, 9.066940307617188, 4.154044151306152, 10.324300765991211, -0.0]	Most companies argue about one old mother of and Patricia 's dermatologists argue about many out in the open . <eos>	[4.987061977386475, 4.841279983520508, 4.850752353668213, 0.9439135789871216, 4.384513854980469, 4.837318420410156, 6.820796489715576, 3.569263219833374, 5.620852947235107, 6.304766654968262, 3.3157453536987305, 6.108860969543457, 4.884870529174805, 2.8793582916259766, 4.627718448638916, 5.136369705200195, 0.4220031499862671, 4.276541709899902, 6.968331336975098, 5.535592079162598, 2.885197147861618e-07]	[5.729161262512207, 7.091188430786133, 9.20323657989502, 4.800961494445801, 6.7789692878723145, 9.204462051391602, 8.822500228881836, 4.592137336730957, 8.247335433959961, 13.788609504699707, 1.5893182754516602, 4.830264091491699, 12.790882110595703, 3.3530654907226562, 7.919906139373779, 9.384031295776367, 6.766566276550293, 1.1743202209472656, 7.305210113525391, 2.6116199493408203, -0.0]
Newspaper articles about the Balkans distract many ex-wives and all gates distract few exposed ex-wives . <eos>	[4.988895416259766, 4.560049057006836, 5.106430530548096, 4.024855613708496, 7.287531852722168, 4.688996315002441, 3.9762301445007324, 4.444953918457031, 1.6233611106872559, 6.281601905822754, 4.51087760925293, 2.5691518783569336, 1.7011576890945435, 4.348852157592773, 5.882503509521484, 1.8833792209625244, 2.7873483077200945e-07]	[10.995665550231934, 2.709353446960449, 3.9198856353759766, 0.7476329803466797, 12.256686210632324, 13.878729820251465, 4.704130172729492, 4.414731979370117, 4.315769195556641, 6.631723403930664, 14.908230781555176, 14.277917861938477, 14.058789253234863, 13.778636932373047, 3.6812610626220703, 3.1819496154785156, -0.0]	Newspaper articles about the Balkans distract many out in the open ex-wives and all gates distract few exposed . <eos>	[4.989037990570068, 4.553171634674072, 5.104720115661621, 4.025667190551758, 7.287083625793457, 4.6887617111206055, 3.9772753715515137, 4.4453630447387695, 0.8574448227882385, 4.895412445068359, 6.924553871154785, 5.905259132385254, 5.678199768066406, 7.031833648681641, 6.129537582397461, 4.040174961090088, 3.598564624786377, 5.04715633392334, 6.049344062805176, 3.0033334041945636e-07]	[10.988393783569336, 2.7088937759399414, 3.9184646606445312, 0.7482881546020508, 12.25455093383789, 13.882044792175293, 4.705042839050293, 8.039644241333008, 7.273166656494141, 1.2714128494262695, 7.520629405975342, 3.9476585388183594, 2.874540328979492, 6.535121917724609, 10.290943145751953, 12.568148612976074, 11.668237686157227, 13.459013938903809, 7.358412742614746, -0.0]
William can disgust one sister and a pedestrian 's mother can disgust a lot nice sister . <eos>	[4.990462303161621, 6.403229713439941, 4.684762001037598, 5.310848236083984, 3.227902412414551, 2.9595484733581543, 6.253031253814697, 5.659623146057129, 4.673245429992676, 7.191916465759277, 3.2364773750305176, 5.816229820251465, 4.874650955200195, 6.193302154541016, 1.0745997428894043, 5.184337615966797, 3.6241276264190674, 2.754540275873296e-07]	[7.401137351989746, 8.631803512573242, 12.762687683105469, 5.842823028564453, 8.112022399902344, 2.2665796279907227, 3.6089487075805664, 12.710041999816895, 5.498517036437988, 5.459652900695801, 7.410327911376953, 10.772380828857422, 3.7996511459350586, 3.786752700805664, 12.54029655456543, 7.948575496673584, 1.3868122100830078, -0.0]	William can disgust one displeased sister and a pedestrian 's mother can disgust a lot nice . <eos>	[4.988622665405273, 6.404449939727783, 4.68572998046875, 5.309887409210205, 3.22795033454895, 4.422180652618408, 2.8050122261047363, 6.48007345199585, 6.491460800170898, 5.33925724029541, 7.299264907836914, 3.5835204124450684, 5.745459079742432, 4.0018463134765625, 6.119492530822754, 0.9804524183273315, 5.424352645874023, 2.831448853157781e-07]	[7.405852794647217, 8.625808715820312, 12.76065731048584, 5.845726013183594, 13.33707046508789, 8.236934661865234, 2.3549633026123047, 4.433767318725586, 12.063998222351074, 5.468112945556641, 5.973882675170898, 5.818534851074219, 11.223222732543945, 4.424066543579102, 4.276838302612305, 12.95405387878418, 2.3540868759155273, -0.0]
Mark will run around many glaciers and most drivers will run around few old glaciers . <eos>	[4.992439270019531, 6.1570353507995605, 4.951581001281738, 4.208220481872559, 4.296945571899414, 6.3584303855896, 3.1391193866729736, 6.738976001739502, 2.8367881774902344, 5.390143394470215, 5.3401288986206055, 4.775339126586914, 4.165089130401611, 4.618352890014648, 5.88179874420166, 3.2726924419403076, 2.7433443960944714e-07]	[8.638596534729004, 8.830756187438965, 5.228387832641602, 5.608674049377441, 7.438528537750244, 11.038623809814453, 1.5685749053955078, 7.67978572845459, 10.54707145690918, 3.0720300674438477, 5.278331756591797, 4.133735656738281, 11.355913162231445, 7.14253044128418, 7.131649017333984, 1.1965312957763672, -0.0]	Mark will run around many rough glaciers and most drivers will run around few old . <eos>	[4.990232467651367, 6.156831741333008, 4.951749801635742, 4.209224224090576, 4.296314239501953, 6.358765125274658, 6.008054256439209, 3.0878071784973145, 6.742804527282715, 3.3776559829711914, 5.403515815734863, 5.430506706237793, 4.796148300170898, 4.317111492156982, 4.651391983032227, 5.821773529052734, 3.070653349368513e-07]	[8.647300720214844, 8.831594467163086, 5.2291717529296875, 5.607177734375, 7.4393839836120605, 9.868704795837402, 10.323328018188477, 1.5367250442504883, 6.932901382446289, 9.674477577209473, 3.339742660522461, 5.066328048706055, 3.9893856048583984, 11.234949111938477, 7.265537261962891, 7.407371520996094, -0.0]
Kristin ascends three steps and Eric ascends almost as many orange steps . <eos>	[4.992434501647949, 5.845595359802246, 3.3648741245269775, 4.971942901611328, 3.265451669692993, 5.653721332550049, 5.5509257316589355, 3.3728585243225098, 4.450821876525879, 4.667733192443848, 5.4432573318481445, 4.28624153137207, 2.0274248123168945, 2.8610509161808295e-07]	[13.089451789855957, 15.343291282653809, 6.540704727172852, 2.1817398071289062, 2.6386585235595703, 10.627605438232422, 9.403362274169922, 8.560590744018555, 1.779306411743164, 5.9210309982299805, 10.644641876220703, 4.798004150390625, 2.4497318267822266, -0.0]	Kristin ascends three black steps and Eric ascends almost as many orange . <eos>	[4.990288734436035, 5.848327159881592, 3.364818811416626, 4.967057228088379, 5.701750755310059, 3.3234100341796875, 5.801922798156738, 5.692474365234375, 3.432823657989502, 4.583276271820068, 4.782083988189697, 5.4452972412109375, 4.1933817863464355, 3.3045833447431505e-07]	[13.085184097290039, 15.34272575378418, 6.542703628540039, 9.16124153137207, 2.890652656555176, 2.59145450592041, 10.278724670410156, 9.7955322265625, 8.90198802947998, 1.974313735961914, 6.023724555969238, 9.302602767944336, 3.7999868392944336, -0.0]
That lady saw one cake and Sherry 's guests saw three exposed cake . <eos>	[4.987192153930664, 4.965453624725342, 4.54990816116333, 4.181646347045898, 3.284213066101074, 4.27693510055542, 5.7939605712890625, 6.064499378204346, 6.997588634490967, 5.742274761199951, 4.138807773590088, 6.641622066497803, 6.506645202636719, 5.819331645965576, 2.948371218280954e-07]	[6.275226593017578, 11.906815528869629, 6.126094818115234, 5.6211748123168945, 9.810528755187988, 1.94989013671875, 13.521039962768555, 2.6767282485961914, 8.620311737060547, 6.307350158691406, 8.25102424621582, 11.94383430480957, 8.809553146362305, 2.7759571075439453, -0.0]	That lady saw one hard cake and Sherry 's guests saw three exposed . <eos>	[4.991612434387207, 4.972342491149902, 4.544399738311768, 4.181493759155273, 3.27858829498291, 6.050160884857178, 4.444402694702148, 5.45672082901001, 5.882319450378418, 7.105976104736328, 5.446835994720459, 4.028687953948975, 6.598736763000488, 6.572384834289551, 3.052403485526156e-07]	[6.270073890686035, 11.897730827331543, 6.1260576248168945, 5.621772766113281, 9.0066499710083, 8.396833419799805, 2.0847034454345703, 13.459981918334961, 2.138162612915039, 8.395181655883789, 6.822603225708008, 8.767354965209961, 11.835095405578613, 6.342233657836914, -0.0]
Craig 's mothers fire a few grandmothers and a lot of ladies fire a lot unlucky grandmothers . <eos>	[4.990273475646973, 6.028753280639648, 7.219083786010742, 5.146714210510254, 4.674593448638916, 6.7797698974609375, 6.040917873382568, 5.220668315887451, 6.469625473022461, 6.479363918304443, 0.34159183502197266, 6.222143650054932, 4.522329330444336, 4.29433012008667, 6.557153701782227, 2.2684273719787598, 4.403176784515381, 3.790040969848633, 2.76366392881755e-07]	[9.715744018554688, 3.1765499114990234, 13.268899917602539, 12.678045272827148, 3.003355026245117, 3.259885787963867, 3.149050712585449, 2.7463741302490234, 3.2689905166625977, 3.482076644897461, 0.03907012939453125, 7.404829978942871, 9.45315170288086, 4.196584701538086, 4.045809745788574, 16.38252067565918, 4.266456604003906, 1.320138931274414, -0.0]	Craig 's mothers fire a few sick grandmothers and a lot of ladies fire a lot unlucky . <eos>	[4.989820957183838, 6.028519153594971, 7.220260143280029, 5.146796226501465, 4.675028324127197, 6.780445575714111, 6.04202938079834, 4.658596038818359, 3.5186798572540283, 6.341653823852539, 6.610623359680176, 0.37997883558273315, 6.2398223876953125, 4.389890670776367, 4.228604793548584, 6.6343841552734375, 2.109431743621826, 4.354207992553711, 2.7992322770842293e-07]	[9.719837188720703, 3.1772689819335938, 13.271636962890625, 12.67555046081543, 3.0031776428222656, 3.261932373046875, 8.839231491088867, 3.7610702514648438, 2.0261669158935547, 3.021456718444824, 4.198088645935059, 0.045551300048828125, 7.6403913497924805, 10.1620454788208, 4.213527679443359, 4.33725643157959, 16.145286560058594, 1.3840703964233398, -0.0]
A lot of doctors lift one screen and these brothers of those boys lift few new screen . <eos>	[4.9916300773620605, 7.243549346923828, 0.39890772104263306, 6.254182815551758, 4.919538497924805, 4.585659980773926, 5.064334869384766, 5.086674690246582, 5.93791389465332, 6.154781818389893, 5.246461868286133, 4.766300201416016, 5.415956020355225, 5.301713943481445, 4.26025390625, 6.3410539627075195, 6.8540167808532715, 6.413632392883301, 2.97903824275636e-07]	[3.933638572692871, 6.359131336212158, 0.04445838928222656, 7.999022006988525, 12.113882064819336, 5.260186195373535, 10.751599311828613, 3.484292984008789, 6.570697784423828, 11.172266006469727, 7.481494903564453, 5.3184614181518555, 7.980474472045898, 10.164108276367188, 11.557172775268555, 7.219412803649902, 9.970067977905273, 4.523449897766113, -0.0]	A lot of doctors lift one purple screen and these brothers of those boys lift few new . <eos>	[4.992735385894775, 7.242040157318115, 0.39964526891708374, 6.252168655395508, 4.919595718383789, 4.584030628204346, 5.064006805419922, 6.040216445922852, 4.857616424560547, 6.056925296783447, 5.887386798858643, 5.283913612365723, 5.06474494934082, 5.528428077697754, 5.2991943359375, 4.287873268127441, 6.398387908935547, 6.6780548095703125, 2.9217392238933826e-07]	[3.9305849075317383, 6.362236976623535, 0.044544219970703125, 7.99847936630249, 12.114372253417969, 5.260283470153809, 11.719179153442383, 8.962164878845215, 3.3922290802001953, 6.610033988952637, 11.53822135925293, 7.171358108520508, 5.330843925476074, 7.419531345367432, 10.72227668762207, 11.487740516662598, 7.25808572769165, 7.447837829589844, -0.0]
Steven worried one hairdresser and James 's electrician worried at least as many exposed hairdresser . <eos>	[4.992341995239258, 5.646149635314941, 2.1360678672790527, 3.3869848251342773, 3.05391263961792, 5.9214959144592285, 5.1076741218566895, 5.834707260131836, 3.749159574508667, 2.220348834991455, 3.591794490814209, 4.195815086364746, 3.3737945556640625, 4.65959358215332, 6.446882247924805, 4.8571696281433105, 3.0096919090283336e-07]	[9.920063018798828, 12.31637191772461, 8.90676212310791, 14.913670539855957, 2.602959632873535, 8.637272834777832, 3.0351743698120117, 10.324986457824707, 8.243884086608887, 5.815950393676758, 7.255006790161133, 5.13547420501709, 2.9519147872924805, 11.82414722442627, 11.138310432434082, 3.101072311401367, -0.0]	Steven worried one uncertain hairdresser and James 's electrician worried at least as many exposed . <eos>	[5.000449180603027, 5.640806198120117, 2.135157585144043, 3.385571241378784, 5.645726680755615, 3.5636096000671387, 6.077030181884766, 5.143925189971924, 6.219389915466309, 3.5412697792053223, 1.983338713645935, 3.208831548690796, 4.168005466461182, 3.4069368839263916, 4.605380535125732, 6.427741527557373, 2.907600560320134e-07]	[9.908924102783203, 12.322443962097168, 8.90716552734375, 13.171070098876953, 13.567859649658203, 2.599506378173828, 8.44595718383789, 2.411928176879883, 11.875740051269531, 8.83641242980957, 5.818504333496094, 6.904308319091797, 4.918308258056641, 3.175067901611328, 11.9144926071167, 4.585811614990234, -0.0]
All men 's supervisor loved one nephew of and Janet loved a lot serious nephew of . <eos>	[4.991382598876953, 5.821979522705078, 4.304072380065918, 6.383686065673828, 5.0856218338012695, 4.285040378570557, 4.707700729370117, 2.4093048572540283, 4.273679733276367, 6.007840156555176, 4.1452741622924805, 3.2236862182617188, 6.486713886260986, 1.9481396675109863, 2.27046799659729, 2.083157777786255, 5.474611282348633, 2.704261987673817e-07]	[5.902399063110352, 6.617178440093994, 2.8363876342773438, 15.434710502624512, 11.872413635253906, 4.571933746337891, 10.323934555053711, 3.406045913696289, 8.716416358947754, 9.507407188415527, 6.676809310913086, 5.150127410888672, 4.325701713562012, 12.863408088684082, 12.050894737243652, 2.315518379211426, 6.049756050109863, -0.0]	All men 's supervisor loved one scared nephew of and Janet loved a lot serious . <eos>	[4.99020528793335, 5.820540428161621, 4.302472114562988, 6.381616592407227, 5.081268310546875, 4.284259796142578, 4.7072248458862305, 3.9309091567993164, 2.941028594970703, 5.002995491027832, 6.469107627868652, 3.785088062286377, 4.266623020172119, 6.450298309326172, 1.2207776308059692, 3.1501564979553223, 2.788512745155458e-07]	[5.905905723571777, 6.617046356201172, 2.8318300247192383, 15.435123443603516, 11.873793601989746, 4.572657585144043, 12.032872200012207, 11.295722007751465, 3.683760643005371, 8.556600570678711, 10.190839767456055, 8.893539428710938, 4.371335029602051, 5.205543518066406, 13.375788688659668, 0.9866657257080078, -0.0]
Paula thought about five shawls and Eva thought about four lost shawls . <eos>	[4.993454933166504, 5.443593978881836, 3.5172109603881836, 4.723783493041992, 5.634012222290039, 6.281251430511475, 6.094649314880371, 5.112154006958008, 3.115858554840088, 4.509242534637451, 5.578566551208496, 5.80981969833374, 4.553683280944824, 2.776034762064228e-07]	[11.242159843444824, 11.547691345214844, 6.152441024780273, 8.939176559448242, 3.744232177734375, 3.2828359603881836, 11.503820419311523, 8.792092323303223, 4.657125473022461, 8.241021156311035, 9.223241806030273, 3.237039566040039, 1.663294792175293, -0.0]	Paula thought about five red shawls and Eva thought about four lost . <eos>	[4.991114616394043, 5.445343017578125, 3.5165677070617676, 4.724147796630859, 5.633175849914551, 6.110864639282227, 5.399370193481445, 5.932548522949219, 5.176268577575684, 3.530395030975342, 4.490274429321289, 5.844048500061035, 6.037270545959473, 2.8621491310332203e-07]	[11.252052307128906, 11.551259994506836, 6.150343894958496, 8.934840202331543, 8.901509284973145, 2.359254837036133, 2.807394027709961, 11.271751403808594, 9.98013687133789, 4.316885948181152, 8.15545654296875, 9.093600273132324, 5.045598983764648, -0.0]
Natalie could n't help two students and those banks could n't help three old students . <eos>	[4.991177558898926, 5.778633117675781, 4.1810526847839355, 4.96485710144043, 4.769394874572754, 4.828607559204102, 3.9689996242523193, 6.098049163818359, 3.594223737716675, 5.314008712768555, 4.254373550415039, 4.872830390930176, 4.267478942871094, 4.897034645080566, 4.124244689941406, 3.553136110305786, 2.7923880452362937e-07]	[12.092899322509766, 8.983734130859375, 2.3770360946655273, 4.869027137756348, 9.145219802856445, 4.441855430603027, 2.514678955078125, 6.346922874450684, 13.24334716796875, 3.763418197631836, 2.7017335891723633, 5.0776214599609375, 8.546575546264648, 8.183350563049316, 3.9105873107910156, 1.2057991027832031, -0.0]	Natalie could n't help two employed students and those banks could n't help three old . <eos>	[4.99128532409668, 5.778802871704102, 4.176484107971191, 4.964603424072266, 4.7662763595581055, 4.831510543823242, 5.5565571784973145, 3.203322410583496, 6.0243377685546875, 3.7945098876953125, 5.317873954772949, 4.36004114151001, 4.578409194946289, 4.3862810134887695, 5.020051956176758, 4.41032600402832, 2.8492695491877384e-07]	[12.093805313110352, 8.97918701171875, 2.3725385665893555, 4.871095657348633, 9.145124435424805, 13.737186431884766, 4.2917633056640625, 2.8440122604370117, 6.7239179611206055, 12.078085899353027, 3.750062942504883, 2.8462295532226562, 5.261129379272461, 8.624448776245117, 8.21418571472168, 7.071943283081055, -0.0]
